timestamp,model_name,preset,reviews_subset,sequence_length,batch_size,epochs,learning_rate,layer_architecture,callback_strategy,test_loss,test_accuracy,negative_precision,negative_recall,negative_f1_score,negative_support,positive_precision,positive_recall,positive_f1_score,positive_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,true_negative,false_positive,false_negative,true_positive,duration
2025-12-09 12:53:20.993998,bert_small_en_uncased-arch0-lr2e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,0,0,0.3222832381725311,0.8776000142097473,0.8582259287338894,0.9048760991207034,0.8809338521400778,2502.0,0.8992379339542761,0.8502802241793435,0.8740740740740741,2498.0,0.8787319313440827,0.8775781616500234,0.877503963107076,0.8787155265419944,0.8776,0.8775067070183024,2264,238,374,2124,0:03:03
2025-12-09 12:56:53.425126,bert_small_en_uncased-arch0-lr2e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,0,1,0.3222779929637909,0.8776000142097473,0.8582259287338894,0.9048760991207034,0.8809338521400778,2502.0,0.8992379339542761,0.8502802241793435,0.8740740740740741,2498.0,0.8787319313440827,0.8775781616500234,0.877503963107076,0.8787155265419944,0.8776,0.8775067070183024,2264,238,374,2124,0:03:31
2025-12-09 13:01:04.645378,bert_small_en_uncased-arch0-lr2e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,0,2,0.32230144739151,0.8776000142097473,0.8582259287338894,0.9048760991207034,0.8809338521400778,2502.0,0.8992379339542761,0.8502802241793435,0.8740740740740741,2498.0,0.8787319313440827,0.8775781616500234,0.877503963107076,0.8787155265419944,0.8776,0.8775067070183024,2264,238,374,2124,0:04:09
2025-12-09 13:04:02.349318,bert_small_en_uncased-arch0-lr3e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,0,0,0.321401298046112,0.8784000277519226,0.8636712749615976,0.898880895283773,0.8809244026635331,2502.0,0.8944073455759599,0.8578863090472378,0.8757662443808746,2498.0,0.8790393102687788,0.8783836021655054,0.8783453235222038,0.879027015840533,0.8784,0.8783473867855169,2249,253,355,2143,0:02:55
2025-12-09 13:07:39.212304,bert_small_en_uncased-arch0-lr3e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,0,1,0.3213658332824707,0.878600001335144,0.8640030733768729,0.898880895283773,0.8810969637610186,2502.0,0.8944513975803087,0.8582866293034428,0.8759959141981614,2498.0,0.8792272354785908,0.8785837622936079,0.8785464389795901,0.8792150561489096,0.8786,0.8785484793994152,2249,253,354,2144,0:03:35
2025-12-09 13:11:54.142786,bert_small_en_uncased-arch0-lr3e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,0,2,0.3213528990745544,0.8784000277519226,0.8633921719109747,0.8992805755395683,0.8809710258418167,2502.0,0.8947368421052632,0.8574859887910328,0.8757154538021259,2498.0,0.8790645070081189,0.8783832821653006,0.8783432398219713,0.8790519691400411,0.8784,0.8783453420507873,2250,252,356,2142,0:04:13
2025-12-09 13:14:14.491164,bert_small_en_uncased-arch0-lr5e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,0,0,0.3135283291339874,0.8754000067710876,0.8603759110088224,0.8964828137490009,0.8780583284400079,2502.0,0.8917676556623485,0.8542834267413931,0.8726231854426497,2498.0,0.8760717833355854,0.8753831202451969,0.8753407569413287,0.876059226637724,0.8754,0.8753429309985277,2243,259,364,2134,0:02:18
2025-12-09 13:17:13.025079,bert_small_en_uncased-arch0-lr5e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,0,1,0.3134577572345733,0.8758000135421753,0.8607594936708861,0.8968824940047961,0.8784497944803288,2502.0,0.8921855411617217,0.8546837469975981,0.8730320997750971,2498.0,0.8764725174163039,0.8757831205011971,0.8757409471277129,0.8764599469973077,0.8758,0.875743114205595,2244,258,363,2135,0:02:57
2025-12-09 13:20:49.033377,bert_small_en_uncased-arch0-lr5e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,0,2,0.3135137557983398,0.8754000067710876,0.8603759110088224,0.8964828137490009,0.8780583284400079,2502.0,0.8917676556623485,0.8542834267413931,0.8726231854426497,2498.0,0.8760717833355854,0.8753831202451969,0.8753407569413287,0.876059226637724,0.8754,0.8753429309985277,2243,259,364,2134,0:03:34
2025-12-09 13:23:45.608149,bert_small_en_uncased-arch1-lr2e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,1,0,0.3106798529624939,0.8751999735832214,0.866796875,0.8868904876099121,0.8767285657842749,2502.0,0.884016393442623,0.8634907926341073,0.8736330498177399,2498.0,0.8754066342213115,0.8751906401220098,0.8751808078010075,0.8753997464139346,0.8752,0.8751820460073941,2219,283,341,2157,0:02:54
2025-12-09 13:27:19.484094,bert_small_en_uncased-arch1-lr2e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,1,1,0.3141248822212219,0.8773999810218811,0.8688012495119094,0.8892885691446842,0.8789255382184475,2502.0,0.8864288642886429,0.8654923939151321,0.8758355276483695,2498.0,0.8776150569002761,0.8773904815299082,0.8773805329334086,0.8776080058543655,0.8774,0.8773817689376366,2225,277,336,2162,0:03:32
